"gvkey","car2","e2","car1","e1","gamma1pre","gamma2pre","gamma1post","gamma2post"
1300,0.038465996,-0.004452379,0.063090494,-0.001577332,1.36050591544916,343.105186931522,3.53001688379135,125.610290863236
1327,-0.269105555,0.001926785,-0.086696063,0.015298069,2.359638425853,-114.836152528421,3.81097477044685,-135.022335367804
1356,0.042308205,-0.002529734,0.022607395,0.002042017,2.59043146707161,297.260249687268,3.78032915536449,127.490316096937
1380,-0.042551356,0.002171297,0.012297199,0.018880393,1.98880112898194,-88.2377109043823,3.77735220151974,-140.068574218594
1382,0.470737876,-0.086924464,-0.157172294,-0.055925637,2.05310574824088,-4.81109361032762,-3.78198998143765,-5.9051225796773
1408,0.150157208,0.006795254,-0.024684525,0.006429735,3.29542568398083,31.5879280495022,3.05344171989394,-180.692838847845
1410,0.042408787,-0.021571292,-0.006648795,-0.009888147,-1.01497510461763,99.8224630179219,3.41108788761687,7.20356978279451
1468,-0.002258123,0.005105538,-0.169854919,0.011579693,2.93499926645167,-163.388890093081,3.32533461080543,-155.446075281065
1478,0.093224569,0.024018148,-0.038778081,0.024682317,1.09986468743731,-272.574973502557,1.67496258163111,-35.5898510860572
1500,-0.142172865,-0.011806103,-0.092804296,-0.013974905,-1.1157511896952,-39.3350512505989,3.03515712951262,1.43125615191616
1567,0.059817373,-0.00105973,-0.008485875,0.024518659,1.14390819784695,-265.663431092925,3.93608515252248,67.8184858892396
1598,-0.014220057,-0.002162254,0.048584729,0.006641702,3.30119129195292,23.4001218165043,3.82629608419931,121.754281226881
1602,-0.003434881,0.001614485,0.071522496,0.01368408,2.58448682399261,-162.195286887506,3.85185173840042,-125.78582493889
1632,0.126636918,0.001122965,-0.013879067,-2.85e-05,1.90615079219468,356.353558792318,3.90600183902135,-90.9598799502443
1633,-0.076684613,0.031320881,0.093013265,0.00159097,2.45363745808415,309.331377123362,1.1227472748349,-104.813608515091
1635,0.07952685,-0.016917177,-0.534521411,0.011153515,3.00401305568238,-161.655656876881,3.17728342081993,-70.0268137069889
1651,0.112318889,0.023022698,-0.04796448,0.005393159,3.23813785149751,84.5273648713006,1.71622838925689,-47.2570311595212
1661,-0.12130753,0.004180271,0.146820989,0.014798925,2.42027228330771,-129.578904669112,3.47111033570718,-159.599176021666
1663,0.031507152,-0.006229628,0.00814078,0.01074219,3.07046158364757,-159.432181084748,3.32410821548906,104.747791642488
1677,-0.055300588,-0.006751048,-0.164881507,-0.063427389,2.1894408791362,-19.108701067675,3.27076954987277,98.5953560408143
1678,-0.101345018,-0.003001445,0.234615136,0.011561446,2.93797807054024,-163.109064482506,3.71890015203096,132.806294741651
1686,0.117723883,0.013647828,0.083260657,0.045836184,0.10282855178086,132.477704866555,1.98257324334455,-81.3547186955101
1690,-0.012899419,0.002518417,0.030177992,0.003081225,2.87582718295518,243.134503410984,3.72771262339918,-145.233467083729
1704,0.054788071,0.000204746,0.086935874,-0.005101586,0.126149493504686,346.35176607145,3.95919745488156,-26.1441115741124
1722,0.071936408,0.001715782,-0.154442139,-0.005706084,-0.0795647893468352,334.331175634588,3.83890677412998,-129.633902567121
1743,-0.203043377,-0.020977799,0.103996261,-0.023912583,0.0750091543898478,-220.390922955435,3.41017718566476,-11.1291208659047
1773,0.024506137,0.008779579,0.084006244,0.011051403,3.02054372507149,-162.169218572761,2.65758115002616,-198.68885178046
1794,0.020420023,-0.022673231,0.086974748,0.040774599,-0.5864959545976,131.944783458477,3.38811667096175,34.4887864277111
1860,-0.117173924,-0.02674618,0.009061659,0.014055358,2.52554230778811,-154.161013778468,3.07810551717439,107.88357660013
1864,-0.071579989,-0.004809497,0.008881717,0.003339717,2.93614683811481,223.302155585458,3.48570598896981,122.405655294228
1878,0.079892685,-0.004934215,0.051798309,0.026763601,0.506046204836483,-291.421185872215,3.47051505821684,121.198808423304
1891,-0.107271782,-0.001598764,-0.13683278,0.00635451,3.29292913229547,34.7298908420645,3.8901509459535,100.977023418757
1913,0.100281893,-0.000200984,0.083190372,0.006720854,3.30294651015777,20.9658803577411,3.96459608101018,-0.435269897336121
1914,0.104162439,0.007692476,0.098804248,0.001115063,2.30219882230028,328.285085158434,2.87958392796972,-202.517923608862
1919,0.080720475,0.00013923,0.073288635,0.003909555,3.05029726329203,174.730827251188,3.96076741856708,-21.78200374163
1920,0.073631758,0.07282044,0.233226329,0.024518659,1.14390819784695,-265.663431092925,-1.27683189010697,8.6405159261312
1968,0.09006988,0.029361963,-0.061248461,-0.020673808,-0.515442082793266,-144.501015475768,1.33194971082966,-112.959494188694
1976,-0.019713639,0.008552491,0.319948274,0.021299915,1.74072245170742,-122.945991092584,2.70317616842508,-202.845878586065
1979,0.004040282,-0.027782049,0.23584975,0.017503839,2.12160360204578,-104.698029622456,2.96073853702608,118.541386344081
1981,-0.042483575,-0.00595416,-0.034391913,-0.026377946,0.624087857784183,-216.956140264567,3.35324327691453,107.512910369423
1988,0.169532858,0.037853539,0.032662512,0.000871068,2.22062243692715,339.658463545989,0.497180565345619,-104.358106288339
2008,0.117815153,0.033349704,-0.016741925,0.022598416,1.56176472758433,-161.964794621242,0.913031993865643,-98.2787274076927
2034,0.11243548,0.0017773,0.045171881,0.001998716,2.57753551250943,298.390363495974,3.83088266836407,-131.236274158865
2044,0.069946034,0.001623442,-0.059662224,0.007088488,3.30916065695887,13.9209165374603,3.85072347545122,-126.142934509942
2055,-0.067406601,-0.003514577,-0.020611473,-0.000762207,1.6443830493669,354.301406970492,3.6506521073251,131.541536529952
2080,-0.105049091,0.011704447,0.035306278,-0.014332603,-1.09907411432692,-54.132886086956,2.1669196226975,-117.435056630683
2085,0.070948129,0.003895685,0.035690532,0.000394664,2.05567150830057,350.186231885492,3.51658324892823,-159.836395994886
2086,-0.002567138,-0.005861342,-0.070779152,0.010127284,3.16230939614087,-136.459411457531,3.36328671632321,108.898548801786
2101,0.01055267,0.003619373,-0.049680031,0.003926945,3.05331988100254,172.896281490632,3.56050661286555,-158.093423896362
2111,0.08687689,0.005581692,-0.302593037,0.004912818,3.18982397310955,115.036719340868,3.25156133647121,-155.989989422047
2150,0.070284092,0.000835411,0.138500479,0.005401336,3.23882675913319,83.9715065211787,3.92891929605054,-69.1826613776085
2154,0.00328708,-0.00231007,0.014051624,0.009079621,3.27266363569504,-69.81071504454,3.80806709187368,124.896996519899
2184,-0.067266009,0.014202663,0.419252663,0.032418665,-0.855372893806491,-113.419671670589,1.94013964476146,-70.9338806716457
